,song,album,artist,popularity,track_id,track_explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,num_samples,duration,end_of_fade_in,start_of_fade_out,tempo_confidence,time_signature_confidence,key_confidence,mode_confidence,genres,year,decade
3591,theme from shaft  remastered,Shaft (Deluxe Edition),isaac hayes,62,7KMILVTQdVS4zQ8ilTcpRO,0,0.487,0.716,9,-17.689,0,0.0463,0.233,0.00445,0.113,0.819,120.795,279200,4,6156360,279.2,0.06676,266.55927,0.762,0.989,0.043,0.29,"['classic soul', 'disco', 'funk', 'jazz funk', 'memphis soul', 'motown', 'quiet storm', 'soul', 'southern soul']",1971,1970
3592,theme from shaft,Theme From Shaft,various artists,22,4GPzDnkvhLdNLsI8xYkcLO,0,0.5,0.581,0,-15.734,1,0.0534,0.0351,5.79e-06,0.15,0.686,121.265,279073,4,6153564,279.0732,0.0,267.4068,0.686,0.992,0.223,0.399,"['classic soul', 'disco', 'funk', 'jazz funk', 'memphis soul', 'motown', 'quiet storm', 'soul', 'southern soul']",1971,1970
3593,theme from shaft  remastered,Shaft (Deluxe Edition),isaac hayes,17,05NFVnibayA2VRyc7bOZl8,0,0.49,0.701,0,-15.552,1,0.0376,0.148,1.08e-06,0.163,0.89,121.312,284373,4,6270432,284.37332,5.34059,272.21915,0.736,0.985,0.734,0.667,"['classic soul', 'disco', 'funk', 'jazz funk', 'memphis soul', 'motown', 'quiet storm', 'soul', 'southern soul']",1971,1970
3594,"theme from shaft  live at the sahara tahoe, stateline, nv1973",Live At The Sahara Tahoe,isaac hayes,11,4yaIHUyO96pCpzUiX2NqYc,0,0.443,0.858,9,-13.225,0,0.157,0.317,0.00978,0.86,0.483,118.761,285121,4,6286908,285.12054,0.52204,285.12054,0.679,0.898,0.449,0.508,"['classic soul', 'disco', 'funk', 'jazz funk', 'memphis soul', 'motown', 'quiet storm', 'soul', 'southern soul']",1971,1970
3595,theme from shaft  live,Rock and Roll Hall of Fame Volume 7: 2002- 2003,various artists,3,2PkbYNFNSfWjbFPeX4UuLt,0,0.552,0.865,0,-8.68,1,0.0836,0.286,0.00154,0.722,0.435,122.663,283173,4,6243972,283.17334,0.0,275.8647,0.459,1.0,0.629,0.611,"['classic soul', 'disco', 'funk', 'jazz funk', 'memphis soul', 'motown', 'quiet storm', 'soul', 'southern soul']",1971,1970
3596,theme from s.w.a.t.,Disco-Fied,rhythm heritage,33,5x9xxVr7nJ9xMfDIW02Nv3,0,0.634,0.897,9,-6.365,0,0.0398,0.00121,0.867,0.134,0.963,109.282,201493,4,4442928,201.49333,0.19025,196.5221,0.778,1.0,0.578,0.383,['rare groove'],1976,1970
3598,love machine,City Of Angels,the miracles,42,2j4k2Q2SGEijVhTv8pycv2,0,0.739,0.984,7,-4.52,0,0.0829,0.165,0.000287,0.0294,0.721,144.877,415133,4,9153690,415.13333,0.0,399.42386,0.908,1.0,0.234,0.157,"['brill building pop', 'classic soul', 'motown', 'quiet storm', 'rhythm and blues', 'soul']",1976,1970
3601,disco duck  pt. 1 vocal,Disco Duck,rick dees and his cast of idiots,28,5gQ3nMRR1eph1wZJpoQweg,0,0.81,0.448,4,-15.137,1,0.0693,0.132,0.000926,0.063,0.968,117.04,198420,4,4375161,198.42,0.84168,185.54485,0.925,1.0,0.39,0.491,[],1976,1970
3602,disco duck  pt. 2 instrumental,Disco Duck,rick dees and his cast of idiots,7,3VPoRQy1Q1pjbAB7BjIrhG,0,0.825,0.466,4,-15.045,1,0.0667,0.0937,0.932,0.0388,0.976,117.794,184089,4,4059162,184.08897,0.51088,166.25488,0.921,1.0,0.348,0.463,[],1976,1970
3603,hey paula  single version,#1 Radio Hits of the 60's,various artists,44,6MpCxTJNdkHIpvQRuID8zU,0,0.506,0.258,7,-11.822,1,0.0293,0.784,0.0,0.0942,0.544,109.595,151067,3,3331020,151.06667,0.24304,143.9347,0.303,1.0,0.506,0.523,['brill building pop'],1963,1960
